"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","364","Verify Post Request","API","2026-07-22","failed","2026-07-22","","api\apitest.spec.js","",""
"","382","Verify Post request","API","2026-07-22","failed","2026-07-22","","api\APIExample.spec.js","",""
